var,ks,FDR,rank_ks,rank_FDR,average_rank
fraud_label,1.0,0.48159329140461216,288.0,288.0,288.0
addr_lag30_count,0.3320320113132572,0.1709433962264151,286.0,287.0,286.5
address_lag30_count,0.3327247807054462,0.17014675052410902,287.0,286.0,286.5
addr_#days_since,0.3235427303450123,0.16825995807127883,284.0,285.0,284.5
address_#days_since,0.324626868452923,0.16763102725366877,285.0,284.0,284.5
address_lag14_count,0.3222521017094141,0.16654088050314467,283.0,283.0,283.0
addr_lag14_count,0.32175552193122436,0.16486373165618448,282.0,282.0,282.0
address_lag7_count,0.3014448829901788,0.15459119496855345,281.0,281.0,281.0
addr_lag7_count,0.30136793715839494,0.1540880503144654,280.0,280.0,280.0
address_lag3_count,0.2784452419898328,0.1440251572327044,278.0,279.0,278.5
addr_lag3_count,0.27848781462536976,0.14327044025157232,279.0,278.0,278.5
address_lag1_count,0.24926744671502876,0.12951781970649895,277.0,277.0,277.0
addr_lag1_count,0.24908347525452668,0.1289308176100629,276.0,276.0,276.0
addr-homephone_lag30_count,0.22895409759205776,0.12314465408805031,275.0,275.0,275.0
ssn-dob_lag30_count,0.22851212881305571,0.12268343815513627,274.0,274.0,274.0
name-dob_lag30_count,0.2276226326596994,0.12243186582809225,273.0,273.0,273.0
ssn_lag30_count,0.22702741981615648,0.12209643605870021,272.0,272.0,272.0
ssn-name-dob_lag30_count,0.22620200929798862,0.12155136268343815,271.0,271.0,271.0
ssn-firstname_lag30_count,0.22609872214244386,0.12150943396226416,269.0,270.0,269.5
addr-homephone_#days_since,0.2261672227406607,0.11958071278825996,270.0,267.0,268.5
ssn-lastname_lag30_count,0.22600910701576804,0.12142557651991615,268.0,269.0,268.5
ssn-name_lag30_count,0.22498705685339193,0.12121593291404612,267.0,268.0,267.5
ssn-dob_#days_since,0.2196368801583088,0.11719077568134172,266.0,265.0,265.5
addr-homephone_lag14_count,0.21890570441025137,0.11811320754716981,264.0,266.0,265.0
name-dob_#days_since,0.21929017999659367,0.11714884696016771,265.0,264.0,264.5
ssn_#days_since,0.21852448793157103,0.11685534591194968,263.0,263.0,263.0
ssn-firstname_#days_since,0.21775487315878558,0.11643605870020965,261.0,262.0,261.5
ssn-name-dob_#days_since,0.2176354451419809,0.11626834381551363,260.0,260.0,260.0
ssn-lastname_#days_since,0.217486027778758,0.11614255765199162,259.0,259.0,259.0
name-dob_lag14_count,0.21531736087004394,0.11635220125786164,256.0,261.0,258.5
ssn-name_#days_since,0.2166996389911,0.1159748427672956,258.0,258.0,258.0
ssn-dob_lag14_count,0.21485752489167642,0.11572327044025157,255.0,257.0,256.0
ssn_lag14_count,0.2144340653551382,0.11568134171907757,254.0,256.0,255.0
name_lag30_count,0.21391626059663071,0.11547169811320755,253.0,254.0,253.5
ssn-name-dob_lag14_count,0.21351812964920514,0.11559748427672956,251.0,255.0,253.0
ssn-firstname_lag14_count,0.21382225717538328,0.11526205450733752,252.0,252.0,252.0
ssn-lastname_lag14_count,0.21339587877624488,0.11538784067085954,250.0,253.0,251.5
ssn-name_lag14_count,0.21300651330610532,0.1148846960167715,249.0,251.0,250.0
address_lag1_lag14_avg,0.21077078811821487,0.11433962264150943,248.0,250.0,249.0
addr_lag1_lag14_avg,0.20909243767836658,0.11329140461215934,247.0,249.0,248.0
addr-homephone_lag7_count,0.199750943726127,0.10851153039832286,244.0,248.0,246.0
name-dob_lag7_count,0.19406243387542232,0.1059958071278826,241.0,247.0,244.0
ssn-dob_lag7_count,0.1931277197978487,0.10557651991614256,240.0,246.0,243.0
name_lag14_count,0.20448682407443297,0.10155136268343816,245.0,240.0,242.5
name_#days_since,0.20525894101518052,0.10121593291404613,246.0,239.0,242.5
ssn_lag7_count,0.1930360087527031,0.10528301886792453,239.0,245.0,242.0
ssn-firstname_lag7_count,0.19267289860055115,0.10519916142557652,238.0,243.0,240.5
ssn-name-dob_lag7_count,0.1924605747924062,0.10524109014675052,236.0,244.0,240.0
ssn-lastname_lag7_count,0.19259732286073694,0.10515723270440251,237.0,242.0,239.5
ssn-name_lag7_count,0.1923578325623294,0.10503144654088051,235.0,241.0,238.0
homephone_lag7_count,0.19419751894323267,0.10029350104821803,242.0,234.0,238.0
homephone_lag3_count,0.1949228225193329,0.09861635220125786,243.0,231.0,237.0
name_lag7_count,0.18851944757100614,0.1009643605870021,233.0,236.0,234.5
