,ks,FDR,rank_ks,rank_FDR,average_rank
fraud,1.0,1.0,324.0,324.0,324.0
card-state_ps_7d_total,0.5510076696681583,0.5022727272727273,323.0,322.0,322.5
card_ps_3d_total,0.5293617818575695,0.5227272727272727,320.0,323.0,321.5
card_ps_7d_total,0.547922433505837,0.48863636363636365,322.0,320.0,321.0
card-state_ps_3d_total,0.5378521646845151,0.4784090909090909,321.0,319.0,320.0
card-state_ps_14d_total,0.5154235823149049,0.4625,315.0,318.0,316.5
card_ps_1d_total,0.5116386667250189,0.4965909090909091,309.0,321.0,315.0
card_ps_14d_total,0.5138137452269719,0.4556818181818182,313.0,316.5,314.75
card-state_ps_3d_maximum,0.516887083009661,0.4284090909090909,316.0,307.0,311.5
card_ps_1d_average,0.5116984321491482,0.4329545454545455,310.0,309.0,309.5
card-state_ps_1d_total,0.5012383888226348,0.44431818181818183,306.0,313.0,309.5
card-state_ps_7d_maximum,0.5273309883040296,0.4159090909090909,319.0,300.0,309.5
card_ps_14d_maximum,0.48280383264587146,0.4556818181818182,297.0,316.5,306.75
card_ps_7d_maximum,0.5083287289795293,0.4238636363636364,308.0,304.0,306.0
card_ps_3d_average,0.5253802010962921,0.4022727272727273,318.0,292.0,305.0
card-zip_ps_7d_total,0.4775299784461537,0.43863636363636366,296.0,312.0,304.0
card_ps_3d_maximum,0.5186245199619252,0.39090909090909093,317.0,286.5,301.75
card-zip_ps_3d_total,0.4732131916104115,0.43068181818181817,293.0,308.0,300.5
card-zip_ps_14d_total,0.4635559470016083,0.4511363636363636,285.0,315.0,300.0
card-state_ps_30d_total,0.49268714646768563,0.4125,301.0,296.5,298.75
card_ps_1d_maximum,0.50672477269992,0.39545454545454545,307.0,289.0,298.0
card_ps_0d_total,0.4572882361951444,0.44886363636363635,279.0,314.0,296.5
card-merchant_ps_7d_total,0.46913779144191947,0.425,288.0,305.0,296.5
card-merchant_ps_14d_total,0.45875337804571165,0.43522727272727274,282.0,310.0,296.0
card-state_ps_1d_maximum,0.4891561997396032,0.3977272727272727,300.0,291.0,295.5
card-merchant_ps_3d_total,0.46845178831278245,0.42159090909090907,287.0,302.0,294.5
card_ps_0d_maximum,0.45990191358767607,0.42727272727272725,283.0,306.0,294.5
card-state_ps_3d_average,0.5123170111270363,0.3806818181818182,311.0,276.5,293.75
card-merchant_ps_3d_maximum,0.46148398778980076,0.4147727272727273,284.0,299.0,291.5
card-state_ps_1d_average,0.4736624580137638,0.38636363636363635,294.0,284.0,289.0
card-state_ps_1d_median,0.47268952614361204,0.39090909090909093,291.0,286.5,288.75
card-zip_ps_30d_total,0.44204012078906774,0.43636363636363634,260.0,311.0,285.5
card_ps_0d_average,0.4560220844867011,0.4068181818181818,278.0,293.0,285.5
card_ps_7d_average,0.49606984212081096,0.3693181818181818,304.0,265.0,284.5
card-state_ps_7d_average,0.5140802962833291,0.35568181818181815,314.0,254.0,284.0
card_ps_30d_total,0.45772874976750294,0.39204545454545453,280.0,288.0,284.0
card-zip_ps_3d_maximum,0.46415633650258753,0.38522727272727275,286.0,281.0,283.5
card-state_ps_14d_maximum,0.5136146183218635,0.3522727272727273,312.0,252.0,282.0
card-state_ps_3d_median,0.500038430398582,0.36022727272727273,305.0,258.0,281.5
card_ps_1d_median,0.48780375058808084,0.36704545454545456,299.0,263.5,281.25
card-merchant_ps_30d_total,0.4377696966049957,0.42272727272727273,256.0,303.0,279.5
card-zip_ps_1d_total,0.44260057549863785,0.41363636363636364,261.0,298.0,279.5
card-zip_ps_1d_maximum,0.4385344752130767,0.42045454545454547,257.0,301.0,279.0
card_ps_14d_average,0.4726995098414643,0.36704545454545456,292.0,263.5,277.75
card-zip_ps_7d_maximum,0.4585419424720183,0.3715909090909091,281.0,267.0,274.0
card-merchant_ps_3d_average,0.45017724482762395,0.3806818181818182,271.0,276.5,273.75
card-merchant_ps_1d_maximum,0.4311513255068436,0.4125,250.0,296.5,273.25
card_ps_3d_median,0.494730932504732,0.3170454545454545,302.0,242.5,272.25
card-state_ps_14d_average,0.4953958741342903,0.31136363636363634,303.0,241.0,272.0
card-state_ps_30d_maximum,0.4835582172671473,0.33295454545454545,298.0,246.0,272.0
card-zip_ps_14d_maximum,0.45179911705817355,0.375,273.0,270.5,271.75
card-zip_ps_3d_average,0.4493594021816431,0.3795454545454545,268.0,275.0,271.5
card-merchant_ps_1d_total,0.4302006860031292,0.4090909090909091,249.0,294.0,271.5
card-zip_ps_3d_median,0.44953992932088976,0.3784090909090909,269.0,273.5,271.25
card_ps_0d_median,0.44033085701156466,0.38522727272727275,259.0,281.0,270.0
card-merchant_ps_3d_median,0.44896169542336345,0.375,267.0,270.5,268.75
card-state_ps_30d_average,0.4766139399774615,0.30227272727272725,295.0,237.0,266.0
card_ps_30d_maximum,0.4437909605137912,0.37272727272727274,262.0,269.0,265.5
card-zip_ps_1d_median,0.428568693311743,0.38636363636363635,245.0,284.0,264.5
merch#_ps_1d_total,0.41529762360638517,0.4113636363636364,232.0,295.0,263.5
card_ps_30d_average,0.4546109640149236,0.34204545454545454,276.0,249.5,262.75
card-zip_ps_1d_average,0.4289468429632709,0.38181818181818183,246.0,278.0,262.0
merch#_ps_3d_average,0.4692406372060964,0.2909090909090909,289.0,233.0,261.0
card-merchant_ps_1d_average,0.42440398691451764,0.38522727272727275,240.0,281.0,260.5
card-state_ps_7d_median,0.4714804045996127,0.2863636363636364,290.0,230.0,260.0
merch#_ps_3d_total,0.42090750445847325,0.38636363636363635,236.0,284.0,260.0
card-merchant_ps_7d_maximum,0.4458190188076456,0.35454545454545455,264.0,253.0,258.5
card-merchant_ps_1d_median,0.42275708705784526,0.3840909090909091,237.0,279.0,258.0
card-zip_ps_30d_maximum,0.45031168284116896,0.32045454545454544,272.0,244.0,258.0
card-merchant_ps_14d_maximum,0.4399565367235966,0.3568181818181818,258.0,255.0,256.5
merch#_ps_1d_average,0.4500157277431919,0.3170454545454545,270.0,242.5,256.25
card-zip_ps_7d_average,0.4478376404555849,0.30568181818181817,266.0,240.0,253.0
card-state_ps_0d_maximum,0.38147900961717307,0.3965909090909091,214.0,290.0,252.0
card-merchant_ps_30d_maximum,0.4345806573376076,0.3352272727272727,252.0,247.5,249.75
card-state_ps_14d_median,0.4525024890863138,0.2681818181818182,274.0,223.0,248.5
